,carat,depth,table,x,y,z,cut,color,clarity,city,x/y,td,ad,cc
0,0.79,62.7,60.0,5.82,5.89,3.67,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0548122572291756,0.9881154499151105,0.9569377990430622,0.006279466495890614,1.368320137979413
1,1.2,61.0,57.0,6.81,6.89,4.18,2.23606797749979,1.0,2.23606797749979,1.0401381096245144,0.9883889695210449,0.9344262295081968,0.00611841076605348,2.6832815729997477
2,1.57,62.2,61.0,7.38,7.32,4.57,2.0,1.7320508075688772,1.7320508075688772,1.0561070349589987,1.0081967213114753,0.9807073954983923,0.006359398051298972,2.719319767883137
3,0.9,63.8,54.0,6.09,6.13,3.9,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0561070349589987,0.9934747145187602,0.8463949843260189,0.006181589125842937,1.5588457268119895
4,0.5,62.9,58.0,5.05,5.09,3.19,1.7320508075688772,2.23606797749979,2.23606797749979,1.0548122572291756,0.9921414538310412,0.9220985691573927,0.006097757665475917,1.118033988749895
5,1.01,61.3,61.0,6.38,6.34,3.9,2.0,2.23606797749979,2.0,1.0,1.0063091482649842,0.9951060358890702,0.006402459355793415,2.02
6,1.04,61.0,58.0,6.6,6.54,4.01,2.0,1.7320508075688772,1.7320508075688772,1.0051791109192922,1.0091743119266054,0.9508196721311475,0.0060085168415260634,1.8013328398716324
7,0.91,63.1,61.0,6.1,6.16,3.87,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0401381096245144,0.9902597402597402,0.9667194928684627,0.006257774080877398,1.5761662348876784
8,1.13,62.2,55.0,6.69,6.67,4.15,2.23606797749979,1.4142135623730951,2.0,1.0561070349589987,1.0029985007496252,0.8842443729903536,0.006102086997454321,2.26
9,1.61,62.9,56.0,7.52,7.46,4.71,2.23606797749979,2.23606797749979,2.0,1.0,1.0080428954423593,0.890302066772655,0.006093240230439232,3.22
10,1.06,60.2,59.0,6.62,6.67,4.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0358221838584376,0.9925037481259371,0.9800664451827242,0.006001530956576093,1.8359738560230099
11,0.3,62.5,58.0,4.29,4.26,2.67,2.0,2.6457513110645907,2.0,1.0561070349589987,1.0070422535211268,0.928,0.006148130851406686,0.6
12,0.53,62.1,57.0,5.15,5.18,3.21,2.23606797749979,2.6457513110645907,2.6457513110645907,1.0561070349589987,0.9942084942084943,0.9178743961352657,0.006189190473738156,1.4022481948642331
13,0.52,59.7,60.0,5.26,5.19,3.12,2.0,2.6457513110645907,1.7320508075688772,1.0360379801467414,1.0134874759152215,1.0050251256281406,0.006105140283913443,0.9006664199358162
14,0.73,61.2,60.0,5.78,5.73,3.52,2.0,2.23606797749979,1.7320508075688772,1.0358221838584376,1.0087260034904013,0.9803921568627451,0.0062617790067562695,1.2643970895252803
15,0.42,62.1,56.0,4.78,4.82,2.98,2.23606797749979,2.6457513110645907,2.23606797749979,1.0699179974104445,0.991701244813278,0.9017713365539453,0.006117276225083605,0.9391485505499116
16,0.5,61.6,55.0,5.11,5.14,3.16,2.23606797749979,2.0,2.0,1.0401381096245144,0.9941634241245138,0.8928571428571428,0.006024193353280963,1.0
17,0.9,62.2,58.0,6.15,6.2,3.84,1.7320508075688772,2.0,1.7320508075688772,1.0401381096245144,0.9919354838709677,0.932475884244373,0.006146734854445318,1.5588457268119895
18,1.02,59.7,58.0,6.53,6.57,3.91,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.0401381096245144,0.9939117199391172,0.9715242881072026,0.006080577995421933,1.4424978336205572
19,0.31,61.6,56.0,4.34,4.36,2.68,2.23606797749979,2.23606797749979,2.6457513110645907,1.048769961156668,0.9954128440366972,0.9090909090909091,0.006112947712290448,0.8201829064300231
20,0.7,62.6,54.0,5.63,5.71,3.55,2.23606797749979,1.4142135623730951,1.7320508075688772,1.0388433318946915,0.9859894921190893,0.8626198083067093,0.006133737470691141,1.212435565298214
21,1.2,61.6,54.0,6.88,6.82,4.22,2.23606797749979,1.0,2.0,1.0561070349589987,1.0087976539589443,0.8766233766233766,0.006060325938873776,2.4
22,1.0,65.8,58.0,6.23,6.15,4.07,1.0,2.23606797749979,1.7320508075688772,1.0561070349589987,1.0130081300813008,0.8814589665653496,0.006412722225273609,1.7320508075688772
23,0.3,61.5,57.0,4.32,4.36,2.66,1.7320508075688772,1.7320508075688772,2.449489742783178,1.0360379801467414,0.9908256880733944,0.926829268292683,0.005987828899465788,0.7348469228349533
24,2.02,62.8,55.0,8.06,8.11,5.08,1.7320508075688772,2.0,1.4142135623730951,1.0548122572291756,0.9938347718865599,0.8757961783439491,0.006083195321090442,2.8567113959936523
25,0.5,61.4,57.8,5.09,5.14,3.15,1.7320508075688772,1.0,2.23606797749979,1.0561070349589987,0.9902723735408561,0.9413680781758957,0.00606706362250536,1.118033988749895
26,0.36,62.3,57.0,4.58,4.54,2.84,2.23606797749979,1.7320508075688772,1.7320508075688772,1.0332326283987916,1.0088105726872247,0.9149277688603532,0.006096250859910052,0.6235382907247957
27,0.42,62.0,55.0,4.83,4.78,2.98,2.23606797749979,2.0,2.23606797749979,1.0401381096245144,1.010460251046025,0.8870967741935484,0.00610461105691573,0.9391485505499116
28,0.5,59.9,61.0,5.13,5.16,3.08,1.7320508075688772,2.23606797749979,2.23606797749979,1.0017263703064307,0.9941860465116279,1.018363939899833,0.006132707071099563,1.118033988749895
29,0.4,62.0,55.0,4.74,4.68,2.92,2.0,2.449489742783178,1.7320508075688772,1.0332326283987916,1.012820512820513,0.8870967741935484,0.00617522726071365,0.6928203230275509
30,1.62,59.6,65.0,7.69,7.59,4.55,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0017263703064307,1.013175230566535,1.0906040268456376,0.006100079600390563,3.62243012354966
31,0.3,62.4,59.0,4.28,4.25,2.66,2.0,2.6457513110645907,1.4142135623730951,1.0051791109192922,1.0070588235294118,0.9455128205128205,0.0062002174209575605,0.4242640687119285
32,1.0,63.3,58.0,6.26,6.29,3.97,1.7320508075688772,2.23606797749979,1.4142135623730951,1.0017263703064307,0.9952305246422893,0.9162717219589258,0.006397120251876631,1.4142135623730951
